,sr,dne,shannon,mad800,cytotrace,activity,netith
EoL-1-cell,1.6394399506593675,299.1018152414815,4.1506495390205655,0.61291188802107,8.460895405346202,0.2986491706642076,5.463796070403168
HO-1-N-1,1.5174280563111229,162.72467790774255,5.184672382271636,2.5646712541073446,10.132350551072365,0.24581900233531956,5.239493390030745
HCC-44,1.9641906670284857,131.00684869436412,4.730409862349362,2.22661500619616,9.303417485743248,0.14624564649232982,5.775551413002708
HTC-C3,1.4842875734303786,217.51050882712403,4.93823041783645,2.5684121622129203,9.885797631633501,0.1936329937469079,5.856997688693903
HCC-78,1.5222534088621025,40.75146464034975,4.746237483700064,2.326561505479515,9.633286889088202,0.13889808028500616,5.799632661862568
HCC-15,3.199062886832491,219.33719123150516,4.711316756174899,2.376301342902765,9.754984843528577,0.17007273160973785,5.37573321485266
EB-3,1.46314462261061,359.0195126689067,4.237543841644463,0.7320025445843497,8.033111880718838,0.243733410394028,5.328298746201879
A498,2.8934914947292683,87.07966173861605,5.005996723433881,2.6420294604857606,10.034953415686143,0.21351251554733183,5.584515593050498
BB65-RCC,3.046801838321194,142.64454514041896,4.8851391699140265,2.5968155984852457,9.842169798456514,0.20464475976574903,5.92477131160922
CCRF-CEM,1.5188578266447448,213.56094245606178,4.205692742148305,0.5626934738839449,8.38632946370373,0.25178694290402753,5.643415230585238
D-542MG,3.130879643608889,57.33002351109997,4.911576142657138,2.4457028109957704,9.800698353785695,0.23580988548567217,5.655019432138754
EW-3,2.4562547772349577e-14,263.42462334386545,4.404503175463299,1.12975598742857,8.839118645175288,0.21478836203495852,5.582666702830249
EMC-BAC-2,3.201123228759374,135.37575683565285,4.892838028522181,2.3947179903644797,9.618631243470634,0.1671972843744449,5.85915452338581
HuCCT1,1.5577476469431404,95.30149282978326,4.867061349172355,2.4816438546827047,9.96100384563655,0.1829226791827028,5.69840780875048
HCC1187,2.7328691821881996,32.653670301865446,4.4859904725356845,1.7956152619412948,9.352070051777169,0.19776304110577095,5.307063647126165
HCC2157,3.0010907275162317,243.5994692464927,4.512428889915375,1.1403711679252202,9.075231812262393,0.2201083188260847,5.716935560129546
Hs746T,2.6402199083626554,75.33149623803862,4.607892910594031,1.8119376066943151,9.532073098089855,0.21735309223250837,5.85254064575026
HCC1954,3.1609380112809644,-89.96524648875032,4.887053130000613,2.31907119237569,9.72000300760453,0.18737521394818454,5.705051247742255
EPLC-272H,1.9268435436945528,163.18704332168696,4.9910903039295995,2.43836123898969,9.754088639845907,0.15899673741408796,5.890546923157187
A253,2.9412189114668514,220.7616131885286,4.948126743672687,2.53742316926453,9.874607739782455,0.2744149792836049,5.411139004983843
BOKU,3.1953383978392003,181.54619984619035,4.8701365198948965,2.5506534164379495,9.769672820686349,0.16042042717968136,5.8017861893455365
COLO-684,3.0641693929570937,224.88481825931973,4.184378077761018,0.9115607150644902,8.385914633816947,0.2640995510422761,5.697631338975769
DMS-79,1.6219423375650206,98.03772341403774,4.471625737937762,2.0031103981834404,9.341881387874567,0.29924265619117296,6.172900800504345
EW-7,1.9305046163917163,255.78176081465608,4.368414239978293,1.410609022982805,8.868674324321628,0.17860966702669678,5.768955489423992
EHEB,1.5558374646441124,212.8833256360881,4.608466560271897,1.1598391239387102,9.291654508696388,0.3754796549195393,5.562106175529468
HCT-15,2.2345617203865507,198.4241816764361,4.5104739132056935,1.7270458357854501,9.13743805976762,0.14360829653689938,5.647661229836064
