drug,n,rho_original,p_original,rho_phospho,p_phospho,rho_kinase_only,p_kinase_only,rho_combined,p_combined,delta_phospho,delta_combined
Fulvestrant,907,0.260379435469617,1.6030314828872128e-15,0.17767972705925675,7.17958978745509e-08,,,-0.0793319514832769,0.016863592912933878,-0.08269970841036026,-0.33971138695289393
Erlotinib,898,0.1780189365048778,7.867098623648737e-08,0.09561795779258926,0.0041316428513119095,,,-0.0748807152349041,0.024835649609520356,-0.08240097871228853,-0.2528996517397819
PF-4708671,233,0.3105421538157959,1.3328487949921144e-06,0.22814612007301074,0.0004478083630239858,,,-0.08868580731093681,0.17730182618072052,-0.08239603374278517,-0.39922796112673276
AZD5153,691,0.23471408687214246,4.205794791733824e-10,0.15265505699422693,5.596747678629783e-05,,,-0.06803147784915671,0.073910274966706,-0.08205902987791552,-0.30274556472129915
Oxaliplatin,909,0.3228807278268613,1.683649000083455e-23,0.24090712503500922,1.812330780337377e-13,,,-0.09017744007057919,0.006515966814804574,-0.08197360279185206,-0.4130581678974405
Cytarabine,718,0.24420691479729784,3.290843855050414e-11,0.1623041310180515,1.2398708441318307e-05,,,-0.07917779600592431,0.033901200580022925,-0.08190278377924634,-0.3233847108032222
Afuresertib,899,0.1321251113792195,7.083282810405915e-05,0.050395977383102405,0.13106988654350302,,,-0.0799614848800903,0.016484125766677186,-0.0817291339961171,-0.2120865962593098
ERK_2440,691,0.08285914218969416,0.029412666038160395,0.0011827288634360786,0.9752424462341651,,,-0.07978769873238264,0.036000991554682955,-0.08167641332625808,-0.16264684092207682
KRAS (G12C) Inhibitor-12,840,0.272077685565233,1.0094715924590223e-15,0.19077899972728335,2.5136265287142792e-08,,,-0.06815417012455273,0.04830782724581303,-0.08129868583794964,-0.3402318556897857
RVX-208,839,0.24694524556574787,4.0202681846055235e-13,0.16633337220978492,1.2691063168997829e-06,,,-0.060209660567940256,0.08133639117014846,-0.08061187335596295,-0.3071549061336881
667880,691,0.20717904308764282,3.885697081823988e-08,0.12658595833625813,0.0008531482796132355,,,-0.05239995504619222,0.16885792429348345,-0.08059308475138469,-0.25957899813383506
GSK2578215A,900,0.2081692940361655,2.8707498705366255e-10,0.12804422392291023,0.00011722697505599644,,,-0.07184237676013593,0.03115704888140946,-0.08012507011325526,-0.2800116707963014
Serdemetan,891,0.2797534472044473,1.750092629551315e-17,0.19985678317919964,1.7648612919474681e-09,,,-0.08856316477619444,0.008167523262223626,-0.07989666402524764,-0.3683166119806417
Vismodegib,892,0.28527611149363374,3.6431908065978105e-18,0.20547102669868797,5.855341755526355e-10,,,-0.08328714578925213,0.012834785023421825,-0.07980508479494577,-0.36856325728288586
