gene,mean_high,mean_low,delta,cohens_d,p_value,n_high,n_low,fdr,neg_log10_p
COL4A4,0.10369001590100568,0.09224356103123849,0.011446454869767198,0.09500864414923897,0.5292389120201888,302,303,0.8895846221191868,0.276348232031065
SIRT2,-0.12216897827196613,-0.11140919822158396,-0.010759780050382167,-0.08202762186299954,0.5292389120201888,302,303,0.8895846221191868,0.276348232031065
DRAM1,-0.0009790633049222136,-0.00856329502726073,0.0075842317223385166,0.052413415516767016,0.5292389120201888,302,303,0.8895846221191868,0.276348232031065
LCN1,-0.12877707991825701,-0.14008312722928637,0.011306047311029355,0.06473484856250805,0.5293780685148446,167,156,0.8896157423036608,0.2762340549505735
NLE1,-1.0327668122239433,-1.0304182402469737,-0.0023485719769695823,-0.009707843908923468,0.5295434733841404,302,303,0.8897720395421436,0.2760983802669317
ZNF699,-0.03751722167699787,-0.034825148762284465,-0.002692072914713406,-0.017986218531161675,0.5295434733841404,302,303,0.8897720395421436,0.2760983802669317
DHRS4L2,-0.07476944160762762,-0.08058104541027802,0.005811603802650403,0.04260751047609573,0.5295827887043669,299,299,0.8897164594700632,0.2760661377907555
ANGPT1,-0.029575706875420212,-0.022650101842173493,-0.006925605033246719,-0.04584141709746679,0.5298481238349024,302,303,0.8900000148424989,0.2758485991403497
RPS6KA5,0.034722137004232,0.04226608079577575,-0.0075439437915437516,-0.06769266162207062,0.5298481238349024,302,303,0.8900000148424989,0.2758485991403497
ZFAND5,-0.33999498596892186,-0.3289185059616618,-0.011076480007260081,-0.058683994058729934,0.5298481238349024,302,303,0.8900000148424989,0.2758485991403497
PDK4,0.05466460333182523,0.04973373721569877,0.004930866116126462,0.039544841865355625,0.530152863332588,302,303,0.8901874520025741,0.2755988886447724
PTGS1,0.07598323569850066,0.08177459818232057,-0.005791362483819909,-0.06370194401428199,0.530152863332588,302,303,0.8901874520025741,0.2755988886447724
DCTN5,-1.195302888297702,-1.2120303263016414,0.0167274380039395,0.05165830048138681,0.530152863332588,302,303,0.8901874520025741,0.2755988886447724
PPP4R3B,-0.053363918249058465,-0.0480514130766586,-0.005312505172399867,-0.03783405330283138,0.530152863332588,302,303,0.8901874520025741,0.2755988886447724
VANGL2,-0.14221980495994965,-0.13387972360899492,-0.008340081350954737,-0.06347511081301176,0.530152863332588,302,303,0.8901874520025741,0.2755988886447724
SENP3,0.10217491061372412,0.11188675225175458,-0.00971184163803046,-0.08910226224465113,0.5302525390234989,10,17,0.8899495226600693,0.27551724326165045
OBP2B,0.49185062365822885,0.5165894181579597,-0.02473879449973082,-0.15984235015438758,0.5302525390234989,10,17,0.8899495226600693,0.27551724326165045
