gene,n_low,n_high,mean_netith_low,mean_netith_high,delta_netith,cohens_d,mwu_p,is_tf,fdr
POR,254,254,5.65279905155441,5.7332424301975,0.08044337864308915,0.36368675767093445,1.3043805934827837e-05,False,3.9994029569514016e-05
SEMA3G,254,254,5.743121813827328,5.663001548003259,-0.0801202658240685,-0.3636727674914617,5.953751686785183e-06,False,1.9705692277158347e-05
SERINC1,254,254,5.651365667762872,5.731754778413269,0.08038911065039755,0.36357192239982383,2.9667905413394197e-06,False,1.0526353981348877e-05
OR51B6,254,254,5.732351879437768,5.6538864298640785,-0.07846544957368984,-0.3634966935375015,5.8737774597317254e-05,False,0.0001572526787312769
GCG,254,254,5.743192346830413,5.659705679923551,-0.0834866669068619,-0.363478330617622,1.5530729244236732e-06,False,5.8712983237388134e-06
RND1,254,254,5.7551996049404845,5.676830172461937,-0.07836943247854755,-0.3634600464132292,7.538717718532398e-07,False,3.0764764763102198e-06
ADAMTS19,254,254,5.754599831556129,5.675580398152868,-0.07901943340326056,-0.3633835586890451,8.537057918075832e-06,False,2.7391518979448313e-05
TEDDM1,254,254,5.746803708995726,5.666392067265334,-0.08041164173039217,-0.36337911213213986,7.003949630890989e-06,False,2.286919848157857e-05
HRCT1,254,254,5.689220235512744,5.768844584404114,0.07962434889136993,0.3633500154637334,0.00023609873930179872,False,0.0005552549104088378
RHOQ,254,254,5.666781548542022,5.74493674986378,0.07815520132175813,0.36334828687285975,8.731427570310195e-06,False,2.7926605733898414e-05
STOX1,254,254,5.746543957887828,5.671000335915514,-0.07554362197231335,-0.36334081302298604,3.278097878545476e-05,False,9.298575463202628e-05
MDK,254,254,5.644511096599137,5.725405335585414,0.08089423898627679,0.3633369632717055,1.1044733024946031e-05,False,3.448546973354451e-05
SLC22A11,254,254,5.7456467372785225,5.6630205267990155,-0.08262621047950702,-0.36332256759367626,2.37482519526926e-05,False,6.928318891422413e-05
ZC3H3,254,254,5.749563293479234,5.667430353972597,-0.08213293950663658,-0.3633152543950516,3.729753732710906e-05,False,0.00010423313396646677
MST1R,254,254,5.767682132792762,5.691113096835,-0.07656903595776221,-0.3633067973602112,1.35202917053505e-05,False,4.1300397375907286e-05
ZSCAN10,254,254,5.743393495363835,5.6624519180527635,-0.0809415773110711,-0.3633061944035711,6.827097890708016e-06,False,2.23511440460732e-05
